instance,set,dist_mode,mu,lambda,alpha1,alpha2,seed_rule,tiebreak,vehicles,schedule_time,distance,waiting_time,service_time,cpu_ms,feasible
C106,C1,double,1,2,0,1,deadline,0,11,10949.1548,1429.1362,520.0186,9000.0000,0,1
C107,C1,trunc,1,1,1,0,far,0,10,9927.1000,926.9000,0.2000,9000.0000,0,1
C107,C1,trunc,1,1,1,0,deadline,0,10,10059.5000,1056.6000,2.9000,9000.0000,0,1
C107,C1,trunc,1,2,1,0,far,0,10,9904.3000,902.4000,1.9000,9000.0000,0,1
C107,C1,trunc,1,2,1,0,deadline,0,12,10623.8000,1537.5000,86.3000,9000.0000,0,1
C107,C1,trunc,1,1,0,1,far,0,11,10303.8000,1171.6000,132.2000,9000.0000,0,1
C107,C1,trunc,1,1,0,1,deadline,0,10,10056.7000,1056.7000,0.0000,9000.0000,0,1
C107,C1,trunc,1,2,0,1,far,0,11,10206.4000,1144.8000,61.6000,9000.0000,0,1
C107,C1,trunc,1,2,0,1,deadline,0,12,10589.5000,1387.7000,201.8000,9000.0000,0,1
C107,C1,double,1,1,1,0,far,0,10,9928.7431,928.7431,0.0000,9000.0000,0,1
C107,C1,double,1,1,1,0,deadline,0,10,10061.1479,1058.3129,2.8350,9000.0000,0,1
C107,C1,double,1,2,1,0,far,0,10,9905.6865,903.9095,1.7770,9000.0000,0,1
C107,C1,double,1,2,1,0,deadline,0,12,10488.1808,1392.1967,95.9840,9000.0000,0,1
C107,C1,double,1,1,0,1,far,0,11,10305.8286,1173.6869,132.1417,9000.0000,0,1
C107,C1,double,1,1,0,1,deadline,0,10,10056.8689,1056.8689,0.0000,9000.0000,0,1
C107,C1,double,1,2,0,1,far,0,11,10208.2847,1146.8660,61.4187,9000.0000,0,1
C107,C1,double,1,2,0,1,deadline,0,11,10519.2841,1383.5368,135.7473,9000.0000,0,1
C108,C1,trunc,1,1,1,0,far,0,10,9948.6000,944.3000,4.3000,9000.0000,0,1
C108,C1,trunc,1,1,1,0,deadline,0,11,10449.7000,1190.1000,259.6000,9000.0000,0,1
C108,C1,trunc,1,2,1,0,far,0,10,9979.5000,975.2000,4.3000,9000.0000,0,1
C108,C1,trunc,1,2,1,0,deadline,0,12,10839.9000,1591.2000,248.7000,9000.0000,0,1
C108,C1,trunc,1,1,0,1,far,0,11,10397.2000,1318.2000,79.0000,9000.0000,0,1
C108,C1,trunc,1,1,0,1,deadline,0,10,10073.1000,1073.1000,0.0000,9000.0000,0,1
C108,C1,trunc,1,2,0,1,far,0,11,10400.1000,1321.1000,79.0000,9000.0000,0,1
C108,C1,trunc,1,2,0,1,deadline,0,11,10664.7000,1492.5000,172.2000,9000.0000,0,1
C108,C1,double,1,1,1,0,far,0,10,9954.2939,950.0904,4.2034,9000.0000,0,1
C108,C1,double,1,1,1,0,deadline,0,11,10652.3331,1240.8790,411.4541,9000.0000,0,1
C108,C1,double,1,2,1,0,far,0,10,9981.0726,976.8692,4.2034,9000.0000,0,1
C108,C1,double,1,2,1,0,deadline,0,12,10847.6056,1595.0439,252.5617,9000.0000,0,1
C108,C1,double,1,1,0,1,far,0,11,10399.3418,1320.7940,78.5478,9000.0000,0,1
C108,C1,double,1,1,0,1,deadline,0,10,10066.5720,1066.5720,0.0000,9000.0000,0,1
C108,C1,double,1,2,0,1,far,0,11,10402.2826,1323.7348,78.5478,9000.0000,0,1
C108,C1,double,1,2,0,1,deadline,0,11,10752.0700,1615.0541,137.0159,9000.0000,0,1
C109,C1,trunc,1,1,1,0,far,0,10,9944.6000,939.8000,4.8000,9000.0000,0,1
C109,C1,trunc,1,1,1,0,deadline,0,11,10558.5000,1340.7000,217.8000,9000.0000,0,1
C109,C1,trunc,1,2,1,0,far,0,11,9938.7000,933.1000,5.6000,9000.0000,0,1
C109,C1,trunc,1,2,1,0,deadline,0,11,10825.0000,1653.2000,171.8000,9000.0000,0,1
C109,C1,trunc,1,1,0,1,far,0,10,10075.6000,1074.7000,0.9000,9000.0000,0,1
C109,C1,trunc,1,1,0,1,deadline,0,10,10326.6000,1325.7000,0.9000,9000.0000,0,1
C109,C1,trunc,1,2,0,1,far,0,11,10076.5000,1073.2000,3.3000,9000.0000,0,1
C109,C1,trunc,1,2,0,1,deadline,0,11,10637.6000,1633.0000,4.6000,9000.0000,0,1
C109,C1,double,1,1,1,0,far,0,10,9946.2981,941.7010,4.5971,9000.0000,0,1
C109,C1,double,1,1,1,0,deadline,0,11,10558.9145,1341.5045,217.4100,9000.0000,0,1
C109,C1,double,1,2,1,0,far,0,11,9940.6507,935.2759,5.3748,9000.0000,0,1
C109,C1,double,1,2,1,0,deadline,0,11,10808.7606,1693.3565,115.4041,9000.0000,0,1
C109,C1,double,1,1,0,1,far,0,10,10148.2569,1117.8724,30.3846,9000.0000,0,1
C109,C1,double,1,1,0,1,deadline,0,10,10336.8245,1335.9661,0.8584,9000.0000,0,1
C109,C1,double,1,2,0,1,far,0,11,10078.3430,1075.1662,3.1768,9000.0000,0,1
C109,C1,double,1,2,0,1,deadline,0,10,10603.9805,1599.4774,4.5030,9000.0000,0,1
C201,C2,trunc,1,1,1,0,far,0,3,9609.1000,609.1000,0.0000,9000.0000,0,1
C201,C2,trunc,1,1,1,0,deadline,0,3,9670.4000,639.7000,30.7000,9000.0000,0,1
C201,C2,trunc,1,2,1,0,far,0,3,9609.1000,609.1000,0.0000,9000.0000,0,1
C201,C2,trunc,1,2,1,0,deadline,0,3,9589.1000,589.1000,0.0000,9000.0000,0,1
C201,C2,trunc,1,1,0,1,far,0,5,12000.1000,1481.0000,1519.1000,9000.0000,0,1
C201,C2,trunc,1,1,0,1,deadline,0,3,9589.1000,589.1000,0.0000,9000.0000,0,1
C201,C2,trunc,1,2,0,1,far,0,5,11852.4000,1432.7000,1419.7000,9000.0000,0,1
C201,C2,trunc,1,2,0,1,deadline,0,3,9589.1000,589.1000,0.0000,9000.0000,0,1
C201,C2,double,1,1,1,0,far,0,3,9603.8793,603.8793,0.0000,9000.0000,0,1
C201,C2,double,1,1,1,0,deadline,0,3,9672.7819,642.2223,30.5596,9000.0000,0,1
C201,C2,double,1,2,1,0,far,0,3,9603.8793,603.8793,0.0000,9000.0000,0,1
C201,C2,double,1,2,1,0,deadline,0,3,9591.5566,591.5566,0.0000,9000.0000,0,1
C201,C2,double,1,1,0,1,far,0,5,11887.0642,1452.7938,1434.2703,9000.0000,0,1
C201,C2,double,1,1,0,1,deadline,0,3,9591.5566,591.5566,0.0000,9000.0000,0,1
C201,C2,double,1,2,0,1,far,0,5,11855.1759,1435.7721,1419.4038,9000.0000,0,1
C201,C2,double,1,2,0,1,deadline,0,3,9591.5566,591.5566,0.0000,9000.0000,0,1
C202,C2,trunc,1,1,1,0,far,0,4,11382.0000,806.3000,1575.7000,9000.0000,0,1
C202,C2,trunc,1,1,1,0,deadline,0,3,9976.3000,803.4000,172.9000,9000.0000,0,1
C202,C2,trunc,1,2,1,0,far,0,4,10089.0000,793.0000,296.0000,9000.0000,0,1
C202,C2,trunc,1,2,1,0,deadline,0,4,10149.0000,808.3000,340.7000,9000.0000,0,1
C202,C2,trunc,1,1,0,1,far,0,6,12190.2000,1956.0000,1234.2000,9000.0000,0,1
C202,C2,trunc,1,1,0,1,deadline,0,3,9982.1000,879.4000,102.7000,9000.0000,0,1
C202,C2,trunc,1,2,0,1,far,0,6,12211.4000,1921.6000,1289.8000,9000.0000,0,1
C202,C2,trunc,1,2,0,1,deadline,0,4,10304.2000,963.5000,340.7000,9000.0000,0,1
C202,C2,double,1,1,1,0,far,0,4,10021.2654,876.5126,144.7527,9000.0000,0,1
C202,C2,double,1,1,1,0,deadline,0,3,9977.4699,806.1830,171.2869,9000.0000,0,1
C202,C2,double,1,2,1,0,far,0,4,10089.7536,795.6083,294.1453,9000.0000,0,1
C202,C2,double,1,2,1,0,deadline,0,4,10032.9174,765.1637,267.7536,9000.0000,0,1
C202,C2,double,1,1,0,1,far,0,6,13050.4736,1935.7115,2114.7621,9000.0000,0,1
C202,C2,double,1,1,0,1,deadline,0,3,9980.4709,731.4947,248.9762,9000.0000,0,1
C202,C2,double,1,2,0,1,far,0,6,12213.0683,1925.0289,1288.0394,9000.0000,0,1
C202,C2,double,1,2,0,1,deadline,0,4,10218.7527,1042.2505,176.5022,9000.0000,0,1
C203,C2,trunc,1,1,1,0,far,0,4,9948.6000,743.0000,205.6000,9000.0000,0,1
C203,C2,trunc,1,1,1,0,deadline,0,4,12931.3000,954.9000,2976.4000,9000.0000,0,1
C203,C2,trunc,1,2,1,0,far,0,4,12921.2000,931.4000,2989.8000,9000.0000,0,1
C203,C2,trunc,1,2,1,0,deadline,0,4,12865.3000,906.6000,2958.7000,9000.0000,0,1
C203,C2,trunc,1,1,0,1,far,0,5,12965.8000,1938.0000,2027.8000,9000.0000,0,1
C203,C2,trunc,1,1,0,1,deadline,0,4,12697.4000,1124.5000,2572.9000,9000.0000,0,1
C203,C2,trunc,1,2,0,1,far,0,5,10925.0000,1880.7000,44.3000,9000.0000,0,1
C203,C2,trunc,1,2,0,1,deadline,0,4,11168.5000,1270.2000,898.3000,9000.0000,0,1
C203,C2,double,1,1,1,0,far,0,4,9947.9563,740.5961,207.3603,9000.0000,0,1
C203,C2,double,1,1,1,0,deadline,0,4,12933.3117,949.6108,2983.7009,9000.0000,0,1
C203,C2,double,1,2,1,0,far,0,4,12920.5167,934.9786,2985.5381,9000.0000,0,1
C203,C2,double,1,2,1,0,deadline,0,4,12861.4288,894.5355,2966.8933,9000.0000,0,1
C203,C2,double,1,1,0,1,far,0,5,13028.4324,1985.9251,2042.5073,9000.0000,0,1
C203,C2,double,1,1,0,1,deadline,0,4,12727.2351,1007.8988,2719.3363,9000.0000,0,1
C203,C2,double,1,2,0,1,far,0,5,10928.5642,1884.3852,44.1790,9000.0000,0,1
C203,C2,double,1,2,0,1,deadline,0,4,10817.9310,1064.8211,753.1099,9000.0000,0,1
C204,C2,trunc,1,1,1,0,far,0,4,10584.5000,1001.5000,583.0000,9000.0000,0,1
C204,C2,trunc,1,1,1,0,deadline,0,4,12939.6000,871.1000,3068.5000,9000.0000,0,1
C204,C2,trunc,1,2,1,0,far,0,4,10796.4000,1138.4000,658.0000,9000.0000,0,1
C204,C2,trunc,1,2,1,0,deadline,0,4,13278.8000,1173.3000,3105.5000,9000.0000,0,1
C204,C2,trunc,1,1,0,1,far,0,4,13196.4000,1844.6000,2351.8000,9000.0000,0,1
C204,C2,trunc,1,1,0,1,deadline,0,4,13154.3000,1334.0000,2820.3000,9000.0000,0,1
C204,C2,trunc,1,2,0,1,far,0,4,13167.7000,1828.5000,2339.2000,9000.0000,0,1
C204,C2,trunc,1,2,0,1,deadline,0,4,12016.8000,1382.6000,1634.2000,9000.0000,0,1
C204,C2,double,1,1,1,0,far,0,4,11417.1262,948.6094,1468.5168,9000.0000,0,1
C204,C2,double,1,1,1,0,deadline,0,4,12940.6760,868.5981,3072.0779,9000.0000,0,1
