algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
i1,R107,R,1,1354.1,1354.1,0.0,12.0,27.193,27.193,0.0,0.0,0.0,,0.0
i1,R108,R,1,1226.0,1226.0,0.0,11.0,31.531,31.531,0.0,0.0,0.0,,0.0
i1,R109,R,1,1457.8,1457.8,0.0,14.0,27.108,27.108,0.0,0.0,0.0,,0.0
i1,R110,R,1,1339.0,1339.0,0.0,12.0,25.375,25.375,0.0,0.0,0.0,,0.0
i1,R111,R,1,1276.6,1276.6,0.0,12.0,21.732,21.732,0.0,0.0,0.0,,0.0
i1,R112,R,1,1188.1,1188.1,0.0,11.0,25.248,25.248,0.0,0.0,0.0,,0.0
i1,R201,R,2,1805.3,1805.3,0.0,5.0,57.916,57.916,0.0,0.0,0.0,,0.0
i1,R202,R,2,1585.0,1585.0,0.0,4.0,53.943,53.943,0.0,0.0,0.0,,0.0
i1,R203,R,2,1534.3,1534.3,0.0,4.0,76.194,76.194,0.0,0.0,0.0,,0.0
i1,R204,R,2,1155.2,1155.2,0.0,4.0,57.965,57.965,0.0,0.0,0.0,,0.0
i1,R205,R,2,1403.3,1403.3,0.0,4.0,47.747,47.747,0.0,0.0,0.0,,0.0
i1,R206,R,2,1303.5,1303.5,0.0,3.0,48.818,48.818,0.0,0.0,0.0,,0.0
i1,R207,R,2,1169.9,1169.9,0.0,3.0,47.343,47.343,0.0,0.0,0.0,,0.0
i1,R208,R,2,974.0,974.0,0.0,3.0,38.944,38.944,0.0,0.0,0.0,,0.0
i1,R209,R,2,1322.5,1322.5,0.0,4.0,54.715,54.715,0.0,0.0,0.0,,0.0
i1,R210,R,2,1404.0,1404.0,0.0,4.0,55.913,55.913,0.0,0.0,0.0,,0.0
i1,R211,R,2,1013.4,1013.4,0.0,3.0,35.717,35.717,0.0,0.0,0.0,,0.0
i1,RC101,RC,1,1920.4,1920.4,0.0,17.0,18.558,18.558,0.0,0.0,0.0,,0.0
