config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C201,C,2,589.1,3,5,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C201,C,2,589.1,3,8,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C201,C,2,589.1,3,9,0.0
sem:Or-opt,"relocate,swap,twoopt,cross",C201,C,2,589.1,3,6,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C201,C,2,589.1,3,8,0.0
sem:2-opt,"relocate,oropt,swap,cross",C201,C,2,589.1,3,8,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C201,C,2,589.1,3,5,0.0
cumul:Relocate,relocate,C202,C,2,617.9,3,11,4.888813444236964
cumul:Relocate+Or-opt,"relocate,oropt",C202,C,2,617.9,3,13,4.888813444236964
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C202,C,2,617.9,3,14,4.888813444236964
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C202,C,2,617.9,3,14,4.888813444236964
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C202,C,2,617.9,3,17,4.888813444236964
sem:Relocate,"oropt,swap,twoopt,cross",C202,C,2,634.2,4,40,7.65574605330165
sem:Or-opt,"relocate,swap,twoopt,cross",C202,C,2,617.9,3,15,4.888813444236964
sem:Swap,"relocate,oropt,twoopt,cross",C202,C,2,617.9,3,17,4.888813444236964
sem:2-opt,"relocate,oropt,swap,cross",C202,C,2,617.9,3,17,4.888813444236964
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C202,C,2,617.9,3,14,4.888813444236964
cumul:Relocate,relocate,C203,C,2,691.1,4,17,17.394258535756745
cumul:Relocate+Or-opt,"relocate,oropt",C203,C,2,631.3,4,33,7.236283336164415
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C203,C,2,622.2,4,38,5.690504501443859
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C203,C,2,622.2,4,39,5.690504501443859
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C203,C,2,622.2,4,42,5.690504501443859
sem:Relocate,"oropt,swap,twoopt,cross",C203,C,2,649.1,4,79,10.259894683200267
sem:Or-opt,"relocate,swap,twoopt,cross",C203,C,2,690.0,4,22,17.20740614914217
sem:Swap,"relocate,oropt,twoopt,cross",C203,C,2,631.3,4,36,7.236283336164415
sem:2-opt,"relocate,oropt,swap,cross",C203,C,2,622.2,4,42,5.690504501443859
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C203,C,2,622.2,4,39,5.690504501443859
cumul:Relocate,relocate,C204,C,2,886.2,4,21,50.68865839143003
cumul:Relocate+Or-opt,"relocate,oropt",C204,C,2,791.2,4,56,34.53494303689849
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C204,C,2,787.0,4,59,33.820778779119195
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C204,C,2,787.0,4,59,33.820778779119195
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C204,C,2,770.0,4,70,30.930113926203024
sem:Relocate,"oropt,swap,twoopt,cross",C204,C,2,805.5,4,92,36.96650229552797
sem:Or-opt,"relocate,swap,twoopt,cross",C204,C,2,848.8,4,38,44.32919571501444
sem:Swap,"relocate,oropt,twoopt,cross",C204,C,2,774.2,4,66,31.644278183982316
sem:2-opt,"relocate,oropt,swap,cross",C204,C,2,770.0,4,70,30.930113926203024
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C204,C,2,787.0,4,60,33.820778779119195
cumul:Relocate,relocate,C205,C,2,606.8,3,8,3.478854024556613
cumul:Relocate+Or-opt,"relocate,oropt",C205,C,2,606.8,3,11,3.478854024556613
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C205,C,2,606.8,3,11,3.478854024556613
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C205,C,2,606.8,3,11,3.478854024556613
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C205,C,2,606.8,3,14,3.478854024556613
sem:Relocate,"oropt,swap,twoopt,cross",C205,C,2,638.1,4,23,8.81650750341065
sem:Or-opt,"relocate,swap,twoopt,cross",C205,C,2,606.8,3,12,3.478854024556613
sem:Swap,"relocate,oropt,twoopt,cross",C205,C,2,606.8,3,14,3.478854024556613
sem:2-opt,"relocate,oropt,swap,cross",C205,C,2,606.8,3,14,3.478854024556613
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C205,C,2,606.8,3,11,3.478854024556613
cumul:Relocate,relocate,C206,C,2,586.0,3,9,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C206,C,2,586.0,3,12,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C206,C,2,586.0,3,12,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C206,C,2,586.0,3,13,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C206,C,2,586.0,3,16,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C206,C,2,598.5,3,31,2.1331058020477816
sem:Or-opt,"relocate,swap,twoopt,cross",C206,C,2,586.0,3,13,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C206,C,2,586.0,3,15,0.0
sem:2-opt,"relocate,oropt,swap,cross",C206,C,2,586.0,3,16,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C206,C,2,586.0,3,13,0.0
cumul:Relocate,relocate,C207,C,2,585.8,3,12,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C207,C,2,585.8,3,15,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C207,C,2,585.8,3,15,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C207,C,2,585.8,3,15,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C207,C,2,585.8,3,19,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C207,C,2,696.5,3,34,18.89723455104132
sem:Or-opt,"relocate,swap,twoopt,cross",C207,C,2,585.8,3,16,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C207,C,2,585.8,3,18,0.0
sem:2-opt,"relocate,oropt,swap,cross",C207,C,2,585.8,3,19,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C207,C,2,585.8,3,15,0.0
cumul:Relocate,relocate,C208,C,2,632.3,3,13,7.937862751792421
cumul:Relocate+Or-opt,"relocate,oropt",C208,C,2,632.3,3,16,7.937862751792421
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C208,C,2,632.3,3,17,7.937862751792421
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C208,C,2,632.3,3,17,7.937862751792421
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C208,C,2,632.3,3,20,7.937862751792421
sem:Relocate,"oropt,swap,twoopt,cross",C208,C,2,647.0,3,51,10.447251621713905
sem:Or-opt,"relocate,swap,twoopt,cross",C208,C,2,632.3,3,17,7.937862751792421
sem:Swap,"relocate,oropt,twoopt,cross",C208,C,2,632.3,3,20,7.937862751792421
sem:2-opt,"relocate,oropt,swap,cross",C208,C,2,632.3,3,20,7.937862751792421
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C208,C,2,632.3,3,17,7.937862751792421
cumul:Relocate,relocate,R101,R,1,1727.5,21,6,5.483299749648895
cumul:Relocate+Or-opt,"relocate,oropt",R101,R,1,1726.2,21,9,5.403920131892288
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R101,R,1,1696.5,21,19,3.59040117237589
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R101,R,1,1696.5,21,19,3.59040117237589
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R101,R,1,1670.0,21,42,1.9722781950296118
sem:Relocate,"oropt,swap,twoopt,cross",R101,R,1,1717.1,21,54,4.848262807596011
sem:Or-opt,"relocate,swap,twoopt,cross",R101,R,1,1671.7,21,29,2.076082310557489
sem:Swap,"relocate,oropt,twoopt,cross",R101,R,1,1669.8,21,43,1.9600659461439767
sem:2-opt,"relocate,oropt,swap,cross",R101,R,1,1670.0,21,42,1.9722781950296118
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R101,R,1,1696.5,21,19,3.59040117237589
cumul:Relocate,relocate,R102,R,1,1516.8,19,10,3.4228828583117448
cumul:Relocate+Or-opt,"relocate,oropt",R102,R,1,1515.5,19,12,3.334242465566623
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R102,R,1,1515.5,19,13,3.334242465566623
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R102,R,1,1515.5,19,13,3.334242465566623
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R102,R,1,1509.5,19,19,2.925132960589124
