algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best
i1,R209,R,2,1322.5,1322.5,0.0,4.0,54.715,54.715
i1,R210,R,2,1404.0,1404.0,0.0,4.0,55.913,55.913
i1,R211,R,2,1013.4,1013.4,0.0,3.0,35.717,35.717
i1,RC101,RC,1,1920.4,1920.4,0.0,17.0,18.558,18.558
i1,RC102,RC,1,1813.3,1813.3,0.0,15.0,24.42,24.42
i1,RC103,RC,1,1544.5,1544.5,0.0,12.0,22.774,22.774
i1,RC104,RC,1,1380.6,1380.6,0.0,12.0,21.929,21.929
i1,RC105,RC,1,1838.0,1838.0,0.0,16.0,21.424,21.424
i1,RC106,RC,1,1726.5,1726.5,0.0,14.0,25.774,25.774
i1,RC107,RC,1,1587.4,1587.4,0.0,13.0,31.429,31.429
i1,RC108,RC,1,1368.2,1368.2,0.0,11.0,22.797,22.797
i1,RC201,RC,2,2025.4,2025.4,0.0,5.0,60.517,60.517
i1,RC202,RC,2,1783.8,1783.8,0.0,4.0,63.307,63.307
i1,RC203,RC,2,1528.8,1528.8,0.0,4.0,65.508,65.508
i1,RC204,RC,2,1254.4,1254.4,0.0,4.0,60.102,60.102
i1,RC205,RC,2,2179.4,2179.4,0.0,5.0,88.856,88.856
i1,RC206,RC,2,1743.1,1743.1,0.0,4.0,65.836,65.836
i1,RC207,RC,2,1565.7,1565.7,0.0,4.0,62.603,62.603
i1,RC208,RC,2,1155.9,1155.9,0.0,3.0,48.937,48.937
rgrasp,C101,C,1,827.3,827.3,0.0,10.0,0.0,0.0
rgrasp,C102,C,1,827.3,827.3,0.0,10.0,0.0,0.0
rgrasp,C103,C,1,826.3,826.3,0.0,10.0,0.0,0.0
rgrasp,C104,C,1,823.0033333333333,822.9,0.565979976088664,10.0,0.012566666666666667,0.0
rgrasp,C105,C,1,827.3,827.3,0.0,10.0,0.0,0.0
rgrasp,C106,C,1,827.3,827.3,0.0,10.0,0.0,0.0
rgrasp,C107,C,1,827.3,827.3,0.0,10.0,0.0,0.0
rgrasp,C108,C,1,827.3,827.3,0.0,10.0,0.0,0.0
rgrasp,C109,C,1,827.3,827.3,0.0,10.0,0.0,0.0
rgrasp,C201,C,2,589.1,589.1,0.0,3.0,0.0,0.0
rgrasp,C202,C,2,589.1,589.1,0.0,3.0,0.0,0.0
rgrasp,C203,C,2,594.7,588.7,4.3151697133684515,3.0,1.0193333333333332,0.0
rgrasp,C204,C,2,605.6233333333333,594.0,6.12280549474149,3.0,2.9796666666666667,1.003
rgrasp,C205,C,2,586.4,586.4,0.0,3.0,0.0,0.0
rgrasp,C206,C,2,586.0,586.0,0.0,3.0,0.0,0.0
rgrasp,C207,C,2,585.8,585.8,0.0,3.0,0.0,0.0
rgrasp,C208,C,2,585.8,585.8,0.0,3.0,0.0,0.0
rgrasp,R101,R,1,1641.3533333333332,1638.2,2.17251377255795,20.0,0.22319999999999998,0.031
rgrasp,R102,R,1,1470.05,1466.6,2.286655440473735,18.0,0.23516666666666666,0.0
rgrasp,R103,R,1,1228.31,1215.3,4.286253085999608,14.4,1.6223999999999998,0.546
rgrasp,R104,R,1,1006.1066666666667,998.2,5.25828956937544,11.433333333333334,3.5621666666666667,2.748
rgrasp,R105,R,1,1377.32,1368.0,5.981085128164013,15.533333333333333,1.6248,0.937
rgrasp,R106,R,1,1259.3600000000001,1242.9,5.6151027871575545,13.266666666666667,2.005533333333333,0.672
rgrasp,R107,R,1,1101.8933333333334,1086.3,5.532221187223779,11.966666666666667,3.5030666666666668,2.038
rgrasp,R108,R,1,970.6833333333333,953.1,5.5307967458294875,10.8,4.139366666666667,2.253
rgrasp,R109,R,1,1180.1666666666667,1169.2,6.284427021495742,13.2,2.9005,1.944
rgrasp,R110,R,1,1115.47,1096.1,7.110271831459137,12.266666666666667,4.4448,2.631
rgrasp,R111,R,1,1078.34,1059.5,7.253992955131902,12.033333333333333,2.8263333333333334,1.03
rgrasp,R112,R,1,991.7933333333333,979.4,6.477756813383256,10.7,4.5534,3.247
rgrasp,R201,R,2,1227.7233333333331,1210.1,10.69046250195692,5.066666666666666,7.3936,5.852
rgrasp,R202,R,2,1081.1966666666667,1069.4,6.104858626583808,5.0,5.0113,3.866
rgrasp,R203,R,2,933.1966666666667,907.1,8.869921405915964,4.033333333333333,7.1654333333333335,4.169
rgrasp,R204,R,2,760.59,750.9,5.4653359047476835,3.066666666666667,4.0052666666666665,2.68
rgrasp,R205,R,2,1013.4166666666666,981.1,12.708674293522934,4.0,6.6978333333333335,3.295
rgrasp,R206,R,2,940.9066666666666,919.4,9.648653053516147,3.8333333333333335,7.4217,4.966
rgrasp,R207,R,2,849.5466666666667,819.7,10.631921139965087,3.1,6.995833333333334,3.237
rgrasp,R208,R,2,724.8066666666667,713.3,5.784398358326993,3.0,3.3961333333333332,1.755
rgrasp,R209,R,2,905.4233333333334,893.8,6.55179277036044,4.0,5.922233333333334,4.562
rgrasp,R210,R,2,956.8,940.2,9.575579571907438,4.0,6.252,4.409
rgrasp,R211,R,2,805.4866666666666,784.3,11.526572997099823,3.0,7.8728,5.035
rgrasp,RC101,RC,1,1657.3733333333332,1644.6,4.923268702056016,16.866666666666667,2.319666666666667,1.531
rgrasp,RC102,RC,1,1485.8933333333334,1478.6,2.50735928313284,14.833333333333334,1.9551,1.455
rgrasp,RC103,RC,1,1306.1966666666667,1284.0,11.60016299925118,11.8,3.831233333333333,2.067
rgrasp,RC104,RC,1,1168.68,1153.8,6.589877294655872,10.9,3.2129333333333334,1.899
rgrasp,RC105,RC,1,1549.0066666666667,1521.2,9.47817577870099,15.9,2.3324333333333334,0.495
rgrasp,RC106,RC,1,1413.6899999999998,1396.8,6.014829375285132,13.5,2.9860666666666664,1.756
rgrasp,RC107,RC,1,1251.5433333333335,1222.0,12.564692823428926,12.266666666666667,3.6217333333333332,1.176
