algorithm,instance,seed,K,distance,gap_pct,derived
rgrasp,R211,1,200,795.6,6.548815,0
rgrasp,R211,1,400,795.6,6.548815,0
rgrasp,R211,1,800,795.6,6.548815,0
rgrasp,R211,1,1600,795.6,6.548815,0
rgrasp,R211,1,3200,781.2,4.620329,0
rgrasp,RC102,1,50,1489.8,2.223137,0
rgrasp,RC102,1,100,1482.0,1.687937,0
rgrasp,RC102,1,200,1482.0,1.687937,0
rgrasp,RC102,1,400,1482.0,1.687937,0
rgrasp,RC102,1,800,1482.0,1.687937,0
rgrasp,RC102,1,1600,1481.4,1.646768,0
rgrasp,RC102,1,3200,1470.4,0.891999,0
rgrasp,RC103,1,50,1299.9,3.330684,0
rgrasp,RC103,1,100,1299.9,3.330684,0
rgrasp,RC103,1,200,1299.9,3.330684,0
rgrasp,RC103,1,400,1285.5,2.18601,0
rgrasp,RC103,1,800,1285.5,2.18601,0
rgrasp,RC103,1,1600,1285.5,2.18601,0
rgrasp,RC103,1,3200,1285.5,2.18601,0
rgrasp,RC105,1,50,1549.5,2.365066,0
rgrasp,RC105,1,100,1549.5,2.365066,0
rgrasp,RC105,1,200,1536.0,1.473211,0
rgrasp,RC105,1,400,1536.0,1.473211,0
rgrasp,RC105,1,800,1536.0,1.473211,0
rgrasp,RC105,1,1600,1536.0,1.473211,0
rgrasp,RC105,1,3200,1536.0,1.473211,0
rgrasp,RC108,1,50,1156.8,3.823371,0
rgrasp,RC108,1,100,1149.1,3.132292,0
rgrasp,RC108,1,200,1133.8,1.75911,0
rgrasp,RC108,1,400,1133.8,1.75911,0
rgrasp,RC108,1,800,1129.6,1.382158,0
rgrasp,RC108,1,1600,1129.6,1.382158,0
rgrasp,RC108,1,3200,1129.6,1.382158,0
rgrasp,RC202,1,50,1158.1,6.023986,0
rgrasp,RC202,1,100,1125.3,3.021148,0
rgrasp,RC202,1,200,1125.3,3.021148,0
rgrasp,RC202,1,400,1125.3,3.021148,0
rgrasp,RC202,1,800,1115.7,2.142269,0
rgrasp,RC202,1,1600,1115.7,2.142269,0
rgrasp,RC202,1,3200,1115.7,2.142269,0
rgrasp,RC203,1,50,980.0,6.095053,0
rgrasp,RC203,1,100,974.7,5.521273,0
rgrasp,RC203,1,200,974.7,5.521273,0
rgrasp,RC203,1,400,968.4,4.839234,0
rgrasp,RC203,1,800,951.7,3.031287,0
rgrasp,RC203,1,1600,951.7,3.031287,0
rgrasp,RC203,1,3200,951.7,3.031287,0
rgrasp,RC206,1,50,1096.1,4.281229,0
rgrasp,RC206,1,100,1088.3,3.539149,0
rgrasp,RC206,1,200,1088.3,3.539149,0
rgrasp,RC206,1,400,1082.5,2.987347,0
rgrasp,RC206,1,800,1082.5,2.987347,0
rgrasp,RC206,1,1600,1078.8,2.635334,0
rgrasp,RC206,1,3200,1078.8,2.635334,0
rgrasp,RC208,1,50,867.5,11.776833,0
rgrasp,RC208,1,100,837.6,7.924237,0
rgrasp,RC208,1,200,830.5,7.009406,0
rgrasp,RC208,1,400,789.6,1.739467,0
rgrasp,RC208,1,800,789.6,1.739467,0
rgrasp,RC208,1,1600,789.6,1.739467,0
rgrasp,RC208,1,3200,789.6,1.739467,0
tabu,C104,1,50,839.5,2.017256,1
tabu,C104,1,100,839.5,2.017256,1
tabu,C104,1,200,839.5,2.017256,1
tabu,C104,1,400,839.5,2.017256,1
tabu,C104,1,800,839.5,2.017256,1
tabu,C104,1,1600,822.9,0.0,1
tabu,C104,1,3200,822.9,0.0,0
tabu,C105,1,50,827.3,0.0,1
tabu,C105,1,100,827.3,0.0,1
tabu,C105,1,200,827.3,0.0,1
tabu,C105,1,400,827.3,0.0,1
tabu,C105,1,800,827.3,0.0,1
tabu,C105,1,1600,827.3,0.0,1
tabu,C105,1,3200,827.3,0.0,0
tabu,C107,1,50,827.3,0.0,1
tabu,C107,1,100,827.3,0.0,1
tabu,C107,1,200,827.3,0.0,1
tabu,C107,1,400,827.3,0.0,1
tabu,C107,1,800,827.3,0.0,1
tabu,C107,1,1600,827.3,0.0,1
tabu,C107,1,3200,827.3,0.0,0
tabu,C108,1,50,827.3,0.0,1
tabu,C108,1,100,827.3,0.0,1
tabu,C108,1,200,827.3,0.0,1
tabu,C108,1,400,827.3,0.0,1
tabu,C108,1,800,827.3,0.0,1
tabu,C108,1,1600,827.3,0.0,1
tabu,C108,1,3200,827.3,0.0,0
tabu,C203,1,50,602.3,2.310175,1
tabu,C203,1,100,602.3,2.310175,1
tabu,C203,1,200,602.3,2.310175,1
tabu,C203,1,400,602.3,2.310175,1
tabu,C203,1,800,588.7,0.0,1
tabu,C203,1,1600,588.7,0.0,1
tabu,C203,1,3200,588.7,0.0,0
tabu,C206,1,50,586.0,0.0,1
tabu,C206,1,100,586.0,0.0,1
tabu,C206,1,200,586.0,0.0,1
tabu,C206,1,400,586.0,0.0,1
tabu,C206,1,800,586.0,0.0,1
tabu,C206,1,1600,586.0,0.0,1
tabu,C206,1,3200,586.0,0.0,0
tabu,C207,1,50,585.8,0.0,1
tabu,C207,1,100,585.8,0.0,1
tabu,C207,1,200,585.8,0.0,1
tabu,C207,1,400,585.8,0.0,1
tabu,C207,1,800,585.8,0.0,1
tabu,C207,1,1600,585.8,0.0,1
tabu,C207,1,3200,585.8,0.0,0
tabu,C208,1,50,585.8,0.0,1
tabu,C208,1,100,585.8,0.0,1
tabu,C208,1,200,585.8,0.0,1
tabu,C208,1,400,585.8,0.0,1
tabu,C208,1,800,585.8,0.0,1
tabu,C208,1,1600,585.8,0.0,1
tabu,C208,1,3200,585.8,0.0,0
tabu,R102,1,50,1491.0,1.663712,1
tabu,R102,1,100,1491.0,1.663712,1
tabu,R102,1,200,1491.0,1.663712,1
tabu,R102,1,400,1479.4,0.872767,1
tabu,R102,1,800,1479.4,0.872767,1
tabu,R102,1,1600,1479.4,0.872767,1
tabu,R102,1,3200,1479.4,0.872767,0
tabu,R103,1,50,1264.5,4.61653,1
tabu,R103,1,100,1264.5,4.61653,1
tabu,R103,1,200,1264.5,4.61653,1
tabu,R103,1,400,1246.6,3.1356,1
tabu,R103,1,800,1246.6,3.1356,1
tabu,R103,1,1600,1246.6,3.1356,1
tabu,R103,1,3200,1246.6,3.1356,0
tabu,R105,1,50,1361.8,0.479599,1
tabu,R105,1,100,1361.8,0.479599,1
tabu,R105,1,200,1361.8,0.479599,1
tabu,R105,1,400,1361.8,0.479599,1
tabu,R105,1,800,1361.8,0.479599,1
tabu,R105,1,1600,1361.8,0.479599,1
tabu,R105,1,3200,1361.8,0.479599,0
tabu,R107,1,50,1175.4,10.407665,1
tabu,R107,1,100,1130.0,6.143152,1
tabu,R107,1,200,1118.7,5.081721,1
tabu,R107,1,400,1118.7,5.081721,1
tabu,R107,1,800,1118.7,5.081721,1
tabu,R107,1,1600,1118.7,5.081721,1
tabu,R107,1,3200,1118.7,5.081721,0
tabu,R108,1,50,1006.0,7.928334,1
tabu,R108,1,100,1006.0,7.928334,1
tabu,R108,1,200,981.6,5.310589,1
tabu,R108,1,400,981.6,5.310589,1
tabu,R108,1,800,981.6,5.310589,1
tabu,R108,1,1600,968.1,3.862247,1
tabu,R108,1,3200,968.1,3.862247,0
tabu,R111,1,50,1065.0,1.554305,1
tabu,R111,1,100,1065.0,1.554305,1
tabu,R111,1,200,1065.0,1.554305,1
tabu,R111,1,400,1065.0,1.554305,1
tabu,R111,1,800,1065.0,1.554305,1
tabu,R111,1,1600,1065.0,1.554305,1
tabu,R111,1,3200,1057.1,0.800992,0
tabu,R202,1,50,1116.1,8.401321,1
tabu,R202,1,100,1116.1,8.401321,1
tabu,R202,1,200,1116.1,8.401321,1
tabu,R202,1,400,1116.1,8.401321,1
tabu,R202,1,800,1116.1,8.401321,1
tabu,R202,1,1600,1086.4,5.516706,1
tabu,R202,1,3200,1086.4,5.516706,0
tabu,R204,1,50,786.9,7.602899,1
tabu,R204,1,100,786.9,7.602899,1
tabu,R204,1,200,778.8,6.495282,1
tabu,R204,1,400,778.8,6.495282,1
tabu,R204,1,800,769.3,5.196226,1
tabu,R204,1,1600,769.3,5.196226,1
tabu,R204,1,3200,769.3,5.196226,0
tabu,R207,1,50,916.0,15.365239,1
tabu,R207,1,100,916.0,15.365239,1
tabu,R207,1,200,837.0,5.415617,1
tabu,R207,1,400,837.0,5.415617,1
tabu,R207,1,800,822.1,3.539043,1
tabu,R207,1,1600,822.1,3.539043,1
tabu,R207,1,3200,822.1,3.539043,0
tabu,R208,1,50,792.3,13.024251,1
tabu,R208,1,100,763.6,8.9301,1
tabu,R208,1,200,763.6,8.9301,1
tabu,R208,1,400,763.6,8.9301,1
tabu,R208,1,800,763.6,8.9301,1
tabu,R208,1,1600,763.6,8.9301,1
tabu,R208,1,3200,729.4,4.051355,0
tabu,R209,1,50,922.7,7.943379,1
tabu,R209,1,100,913.0,6.80861,1
tabu,R209,1,200,913.0,6.80861,1
tabu,R209,1,400,913.0,6.80861,1
tabu,R209,1,800,913.0,6.80861,1
tabu,R209,1,1600,895.2,4.726252,1
tabu,R209,1,3200,895.2,4.726252,0
tabu,R211,1,50,874.2,17.075131,1
tabu,R211,1,100,874.2,17.075131,1
tabu,R211,1,200,830.5,11.222713,1
tabu,R211,1,400,830.5,11.222713,1
tabu,R211,1,800,827.3,10.794161,1
tabu,R211,1,1600,810.3,8.517477,1
tabu,R211,1,3200,798.9,6.990759,0
tabu,RC102,1,50,1522.4,4.459997,1
tabu,RC102,1,100,1488.8,2.154522,1
tabu,RC102,1,200,1488.8,2.154522,1
tabu,RC102,1,400,1488.8,2.154522,1
tabu,RC102,1,800,1488.8,2.154522,1
tabu,RC102,1,1600,1488.8,2.154522,1
tabu,RC102,1,3200,1482.4,1.715384,0
tabu,RC103,1,50,1335.3,6.144674,1
tabu,RC103,1,100,1335.3,6.144674,1
tabu,RC103,1,200,1335.3,6.144674,1
tabu,RC103,1,400,1335.3,6.144674,1
tabu,RC103,1,800,1326.5,5.445151,1
tabu,RC103,1,1600,1326.5,5.445151,1
tabu,RC103,1,3200,1321.0,5.007949,0
tabu,RC105,1,50,1543.4,1.96208,1
tabu,RC105,1,100,1543.4,1.96208,1
tabu,RC105,1,200,1520.6,0.455837,1
tabu,RC105,1,400,1520.6,0.455837,1
tabu,RC105,1,800,1520.6,0.455837,1
tabu,RC105,1,1600,1520.6,0.455837,1
tabu,RC105,1,3200,1520.6,0.455837,0
tabu,RC108,1,50,1193.9,7.153114,1
tabu,RC108,1,100,1178.2,5.744032,1
tabu,RC108,1,200,1178.2,5.744032,1
tabu,RC108,1,400,1146.4,2.889966,1
tabu,RC108,1,800,1146.4,2.889966,1
tabu,RC108,1,1600,1146.4,2.889966,1
tabu,RC108,1,3200,1146.4,2.889966,0
tabu,RC202,1,50,1244.4,13.924746,1
tabu,RC202,1,100,1244.4,13.924746,1
tabu,RC202,1,200,1244.4,13.924746,1
tabu,RC202,1,400,1244.4,13.924746,1
tabu,RC202,1,800,1244.4,13.924746,1
tabu,RC202,1,1600,1237.0,13.247276,1
tabu,RC202,1,3200,1237.0,13.247276,0
tabu,RC203,1,50,1009.2,9.256252,1
tabu,RC203,1,100,1009.2,9.256252,1
tabu,RC203,1,200,1009.2,9.256252,1
tabu,RC203,1,400,1009.2,9.256252,1
tabu,RC203,1,800,1009.2,9.256252,1
tabu,RC203,1,1600,1009.2,9.256252,1
tabu,RC203,1,3200,1009.2,9.256252,0
tabu,RC206,1,50,1105.2,5.146989,1
tabu,RC206,1,100,1105.2,5.146989,1
tabu,RC206,1,200,1105.2,5.146989,1
tabu,RC206,1,400,1090.9,3.786509,1
tabu,RC206,1,800,1090.9,3.786509,1
tabu,RC206,1,1600,1090.9,3.786509,1
tabu,RC206,1,3200,1090.9,3.786509,0
tabu,RC208,1,50,925.8,19.288751,1
tabu,RC208,1,100,915.4,17.948718,1
tabu,RC208,1,200,915.4,17.948718,1
tabu,RC208,1,400,878.2,13.155521,1
tabu,RC208,1,800,878.2,13.155521,1
tabu,RC208,1,1600,878.2,13.155521,1
tabu,RC208,1,3200,864.2,11.35163,0
